"Hour","N_L1D1","N_L2D1","S_L1D1","S_L2D1","E_L1D1","E_L2D1","W_L1D1","W_L2D1","W_L3D1","Total"
"2019-09-15 22:00:00",3,2,26,0,163,89,0,103,75,461
"2019-09-15 23:00:00",2,5,20,0,117,62,0,59,30,295
"2019-09-16 00:00:00",3,0,10,0,57,26,0,35,23,154
"2019-09-16 01:00:00",2,2,4,0,26,12,0,10,9,65
"2019-09-16 02:00:00",0,0,2,0,17,11,0,16,4,50
"2019-09-16 03:00:00",0,0,2,0,13,6,0,21,8,50
"2019-09-16 04:00:00",1,0,3,0,26,3,0,20,17,70
"2019-09-16 05:00:00",0,3,10,0,52,18,0,94,69,246
"2019-09-16 06:00:00",2,5,83,0,198,92,0,363,350,1093
"2019-09-16 07:00:00",4,16,186,0,827,227,0,678,753,2691
"2019-09-16 08:00:00",8,18,227,0,1198,364,0,667,764,3246
"2019-09-16 09:00:00",12,20,168,0,745,334,0,439,483,2201
"2019-09-16 10:00:00",14,19,167,0,709,282,0,365,405,1961
"2019-09-16 11:00:00",9,16,184,0,786,310,0,406,477,2188
"2019-09-16 12:00:00",12,16,185,0,807,279,0,468,484,2251
"2019-09-16 13:00:00",12,26,229,0,921,353,0,403,473,2417
"2019-09-16 14:00:00",9,11,216,0,861,340,0,468,509,2414
"2019-09-16 15:00:00",14,12,185,0,1046,323,0,482,514,2576
"2019-09-16 16:00:00",13,17,204,0,1167,414,0,491,539,2845
"2019-09-16 17:00:00",17,26,263,0,1366,466,0,601,695,3434
"2019-09-16 18:00:00",5,16,242,0,1222,407,0,508,532,2932
"2019-09-16 19:00:00",4,6,196,0,964,334,0,386,416,2306
"2019-09-16 20:00:00",7,10,128,0,624,252,0,308,321,1650
"2019-09-16 21:00:00",2,2,72,0,340,161,0,195,166,938
"2019-09-16 22:00:00",7,2,41,0,201,110,0,106,77,544
"2019-09-16 23:00:00",1,3,18,0,119,59,0,58,32,290
"2019-09-17 00:00:00",0,1,5,0,96,38,0,34,19,193
"2019-09-17 01:00:00",0,0,3,0,25,9,0,19,15,71
"2019-09-17 02:00:00",0,0,1,0,19,9,0,18,8,55
"2019-09-17 03:00:00",0,0,3,0,17,5,0,12,9,46
"2019-09-17 04:00:00",1,0,4,0,27,6,0,30,13,81
"2019-09-17 05:00:00",1,2,11,0,65,22,0,86,51,238
"2019-09-17 06:00:00",5,7,79,0,196,62,0,331,329,1009
"2019-09-17 07:00:00",6,71,189,0,889,223,0,672,730,2780
"2019-09-17 08:00:00",11,14,241,0,1201,362,0,647,779,3255
"2019-09-17 09:00:00",6,23,181,0,721,293,0,392,401,2017
"2019-09-17 10:00:00",8,16,164,0,718,257,0,374,442,1979
"2019-09-17 11:00:00",13,15,206,0,791,293,0,438,433,2189
"2019-09-17 12:00:00",7,16,206,0,846,355,0,430,484,2344
"2019-09-17 13:00:00",14,14,204,0,861,327,0,465,507,2392
"2019-09-17 14:00:00",7,23,198,0,903,329,0,441,517,2418
"2019-09-17 15:00:00",7,15,228,0,1018,350,0,482,552,2652
"2019-09-17 16:00:00",8,27,241,0,1218,405,0,519,597,3015
"2019-09-17 17:00:00",17,25,247,0,1377,460,0,612,690,3428
"2019-09-17 18:00:00",8,20,200,0,1268,415,0,517,536,2964
"2019-09-17 19:00:00",4,12,185,0,939,315,0,366,414,2235
"2019-09-17 20:00:00",3,15,112,0,709,248,0,291,311,1689
"2019-09-17 21:00:00",5,8,70,0,323,157,0,210,181,954
"2019-09-17 22:00:00",4,7,55,0,185,114,0,149,119,633
"2019-09-17 23:00:00",2,3,19,0,140,57,0,68,69,358
"2019-09-18 00:00:00",2,1,13,0,86,47,0,45,25,219
"2019-09-18 01:00:00",1,1,0,0,34,18,0,19,5,78
"2019-09-18 02:00:00",0,0,2,0,24,11,0,11,8,56
"2019-09-18 03:00:00",0,0,3,0,19,11,0,20,6,59
"2019-09-18 04:00:00",0,0,1,0,22,5,0,25,26,79
"2019-09-18 05:00:00",0,1,13,0,62,18,0,94,52,240
"2019-09-18 06:00:00",3,6,75,0,186,74,0,334,335,1013
"2019-09-18 07:00:00",11,18,178,0,858,269,0,635,745,2714
"2019-09-18 08:00:00",9,24,230,0,1184,393,0,637,778,3255
"2019-09-18 09:00:00",5,9,170,0,759,269,0,444,488,2144
"2019-09-18 10:00:00",13,7,161,0,728,278,0,426,451,2064
"2019-09-18 11:00:00",10,9,212,0,743,275,0,413,441,2103
"2019-09-18 12:00:00",14,10,190,0,828,322,0,448,498,2310
"2019-09-18 13:00:00",7,19,174,0,894,314,0,464,506,2378
"2019-09-18 14:00:00",5,18,245,0,959,350,0,478,522,2577
"2019-09-18 15:00:00",12,17,189,0,1054,347,0,504,506,2629
"2019-09-18 16:00:00",13,19,248,0,1286,427,0,505,572,3070
"2019-09-18 17:00:00",13,18,233,0,1265,476,0,618,711,3334
"2019-09-18 18:00:00",5,15,229,0,1208,421,0,508,518,2904
"2019-09-18 19:00:00",3,11,130,0,943,317,0,416,449,2269
"2019-09-18 20:00:00",6,10,123,0,625,241,0,283,269,1557
"2019-09-18 21:00:00",4,10,104,0,393,197,0,213,204,1125
"2019-09-18 22:00:00",1,0,55,0,211,121,0,92,78,558
"2019-09-18 23:00:00",0,2,16,0,133,65,0,72,36,324
"2019-09-19 00:00:00",2,0,5,0,91,35,0,44,21,198
"2019-09-19 01:00:00",0,0,3,0,33,17,0,22,12,87
"2019-09-19 02:00:00",0,0,2,0,21,8,0,13,6,50
"2019-09-19 03:00:00",1,1,1,0,12,5,0,13,6,39
"2019-09-19 04:00:00",1,0,0,0,19,3,0,27,14,64
"2019-09-19 05:00:00",0,1,15,0,63,18,0,82,55,234
"2019-09-19 06:00:00",3,5,53,0,197,76,0,343,356,1033
"2019-09-19 07:00:00",13,17,193,0,819,264,0,634,748,2688
"2019-09-19 08:00:00",10,12,220,0,1197,370,0,616,744,3169
"2019-09-19 09:00:00",16,16,203,0,711,298,0,420,455,2119
"2019-09-19 10:00:00",10,14,184,0,722,268,0,385,416,1999
"2019-09-19 11:00:00",16,16,173,0,786,305,0,434,434,2164
"2019-09-19 12:00:00",18,17,208,0,862,332,0,479,496,2412
"2019-09-19 13:00:00",10,27,229,0,890,302,0,441,464,2363
"2019-09-19 14:00:00",12,14,217,0,920,315,0,476,529,2483
"2019-09-19 15:00:00",11,15,198,0,1059,364,0,477,544,2668
"2019-09-19 16:00:00",13,12,250,0,1239,410,0,549,576,3049
"2019-09-19 17:00:00",16,21,287,0,1372,440,0,622,709,3467
"2019-09-19 18:00:00",8,21,184,0,1224,381,0,514,550,2882
"2019-09-19 19:00:00",9,15,166,0,928,317,0,365,417,2217
"2019-09-19 20:00:00",9,14,122,0,633,255,0,285,299,1617
"2019-09-19 21:00:00",1,3,81,0,371,154,0,201,171,982
"2019-09-19 22:00:00",3,3,33,0,217,114,0,112,98,580
"2019-09-19 23:00:00",0,0,20,0,140,68,0,63,39,330
"2019-09-20 00:00:00",0,0,1,0,105,31,0,31,23,191
"2019-09-20 01:00:00",0,0,5,0,28,11,0,16,11,71
"2019-09-20 02:00:00",0,0,1,0,20,12,0,15,7,55
"2019-09-20 03:00:00",0,0,3,0,18,6,0,15,14,56
"2019-09-20 04:00:00",1,0,0,0,17,9,0,31,19,77
"2019-09-20 05:00:00",1,7,17,0,51,16,0,73,55,220
"2019-09-20 06:00:00",2,7,57,0,198,67,0,337,347,1015
"2019-09-20 07:00:00",5,16,189,0,860,230,0,653,719,2672
"2019-09-20 08:00:00",8,18,219,0,1147,393,0,622,747,3154
"2019-09-20 09:00:00",16,15,173,0,752,267,0,440,543,2206
"2019-09-20 10:00:00",10,15,166,0,777,291,0,410,459,2128
"2019-09-20 11:00:00",10,15,182,0,859,290,0,446,491,2293
"2019-09-20 12:00:00",8,15,226,0,911,323,0,481,543,2507
"2019-09-20 13:00:00",13,17,244,0,926,325,0,501,565,2591
"2019-09-20 14:00:00",16,17,185,0,993,373,0,474,557,2615
"2019-09-20 15:00:00",9,16,218,0,1132,366,0,518,562,2821
"2019-09-20 16:00:00",7,17,282,0,1319,443,0,536,628,3232
"2019-09-20 17:00:00",10,16,222,0,1335,474,0,610,629,3296
"2019-09-20 18:00:00",8,10,201,0,1258,461,0,487,541,2966
"2019-09-20 19:00:00",9,12,196,0,945,299,0,414,453,2328
"2019-09-20 20:00:00",8,10,126,0,719,275,0,325,357,1820
"2019-09-20 21:00:00",5,12,99,0,453,182,0,233,216,1200
"2019-09-20 22:00:00",4,8,65,0,322,158,0,158,135,850
"2019-09-20 23:00:00",3,3,39,0,195,90,0,119,81,530
"2019-09-21 00:00:00",1,1,14,0,178,70,0,86,63,413
"2019-09-21 01:00:00",0,0,12,0,92,44,0,76,31,255
"2019-09-21 02:00:00",1,2,8,0,82,22,0,54,35,204
"2019-09-21 03:00:00",0,0,5,0,53,15,0,43,30,146
"2019-09-21 04:00:00",0,0,5,0,29,17,0,34,23,108
"2019-09-21 05:00:00",3,3,9,0,49,19,0,70,23,176
"2019-09-21 06:00:00",1,1,21,0,119,28,0,149,81,400
"2019-09-21 07:00:00",0,4,60,0,268,122,0,212,200,866
"2019-09-21 08:00:00",4,5,82,0,496,202,0,298,299,1386
"2019-09-21 09:00:00",5,10,113,0,792,283,0,377,402,1982
"2019-09-21 10:00:00",16,16,164,0,874,257,0,496,541,2364
"2019-09-21 11:00:00",13,14,205,0,1066,330,0,558,628,2814
"2019-09-21 12:00:00",16,23,212,0,1147,339,0,543,610,2890
"2019-09-21 13:00:00",10,21,222,0,1001,310,0,569,636,2769
"2019-09-21 14:00:00",8,11,186,0,923,302,0,487,543,2460
"2019-09-21 15:00:00",9,13,174,0,812,313,0,481,537,2339
"2019-09-21 16:00:00",2,13,169,0,837,284,0,467,498,2270
"2019-09-21 17:00:00",6,13,153,0,713,296,0,375,440,1996
"2019-09-21 18:00:00",1,10,139,0,706,269,0,379,420,1924
"2019-09-21 19:00:00",5,13,104,0,598,244,0,363,346,1673
"2019-09-21 20:00:00",8,9,79,0,567,221,0,260,286,1430
"2019-09-21 21:00:00",3,4,78,0,417,173,0,245,218,1138
"2019-09-21 22:00:00",2,4,65,0,325,151,0,191,137,875
"2019-09-21 23:00:00",1,3,29,0,224,90,0,126,89,562
"2019-09-22 00:00:00",1,3,19,0,193,79,0,85,72,452
"2019-09-22 01:00:00",2,1,16,0,78,47,0,66,43,253
"2019-09-22 02:00:00",0,0,8,0,80,23,0,40,34,185
"2019-09-22 03:00:00",0,0,7,0,49,20,0,30,18,124
"2019-09-22 04:00:00",1,0,3,0,36,8,0,32,18,98
"2019-09-22 05:00:00",1,4,10,0,46,17,0,46,24,148
"2019-09-22 06:00:00",0,0,14,0,69,25,0,99,52,259
"2019-09-22 07:00:00",0,3,30,0,137,61,0,122,101,454
"2019-09-22 08:00:00",3,5,35,0,251,97,0,161,128,680
"2019-09-22 09:00:00",2,5,83,0,391,151,0,237,252,1121
"2019-09-22 10:00:00",5,10,84,0,483,201,0,304,347,1434
"2019-09-22 11:00:00",6,8,139,0,682,246,0,350,433,1864
"2019-09-22 12:00:00",4,8,166,0,733,240,0,448,484,2083
"2019-09-22 13:00:00",5,10,130,0,722,285,0,463,455,2070
"2019-09-22 14:00:00",0,12,154,0,737,283,0,404,436,2026
"2019-09-22 15:00:00",8,7,144,0,722,298,0,394,402,1975
"2019-09-22 16:00:00",5,11,113,0,607,233,0,369,423,1761
"2019-09-22 17:00:00",2,9,137,0,612,239,0,341,353,1693
"2019-09-22 18:00:00",1,12,108,0,566,244,0,345,375,1651
"2019-09-22 19:00:00",4,10,98,0,516,211,0,332,303,1474
"2019-09-22 20:00:00",5,11,66,0,460,197,0,250,231,1220
"2019-09-22 21:00:00",3,1,58,0,287,151,0,166,155,821
"2019-09-22 22:00:00",1,3,26,0,186,98,0,93,56,463
"2019-09-22 23:00:00",3,2,13,0,123,59,0,49,41,290
"2019-09-23 00:00:00",0,0,7,0,52,30,0,32,13,134
"2019-09-23 01:00:00",1,1,1,0,23,14,0,14,8,62
"2019-09-23 02:00:00",0,0,2,0,17,5,0,13,6,43
"2019-09-23 03:00:00",0,0,4,0,44,12,0,20,14,94
"2019-09-23 04:00:00",1,0,3,0,21,6,0,28,16,75
"2019-09-23 05:00:00",0,1,10,0,55,14,0,91,54,225
"2019-09-23 06:00:00",4,4,65,0,174,64,0,361,339,1011
"2019-09-23 07:00:00",6,7,167,0,810,228,0,665,681,2564
"2019-09-23 08:00:00",8,18,234,0,1229,385,0,706,830,3410
"2019-09-23 09:00:00",7,12,136,0,745,341,0,410,478,2129
"2019-09-23 10:00:00",11,11,148,0,744,309,0,390,417,2030
"2019-09-23 11:00:00",7,20,206,0,696,319,0,428,459,2135
"2019-09-23 12:00:00",7,9,251,0,846,320,0,433,495,2361
"2019-09-23 13:00:00",13,16,213,0,846,317,0,474,492,2371
"2019-09-23 14:00:00",5,14,203,0,880,335,0,444,507,2388
"2019-09-23 15:00:00",6,9,202,0,963,361,0,457,493,2491
"2019-09-23 16:00:00",16,23,275,0,1246,410,0,465,536,2971
"2019-09-23 17:00:00",13,17,261,0,1363,456,0,603,665,3378
"2019-09-23 18:00:00",11,16,232,0,1253,408,0,491,559,2970
"2019-09-23 19:00:00",9,19,177,0,908,304,0,395,416,2228
"2019-09-23 20:00:00",5,8,120,0,628,264,0,300,287,1612
"2019-09-23 21:00:00",1,3,76,0,329,172,0,177,153,911
"2019-09-23 22:00:00",5,7,39,0,183,120,0,102,90,546
"2019-09-23 23:00:00",2,1,15,0,99,52,0,47,28,244
"2019-09-24 00:00:00",0,0,5,0,77,34,0,11,9,136
"2019-09-24 01:00:00",0,0,4,0,23,9,0,13,6,55
"2019-09-24 02:00:00",0,0,2,0,17,10,0,20,6,55
"2019-09-24 03:00:00",0,0,0,0,16,7,0,13,2,38
"2019-09-24 04:00:00",1,0,2,0,23,6,0,34,21,87
"2019-09-24 05:00:00",1,2,11,0,60,10,0,85,57,226
"2019-09-24 06:00:00",2,5,53,0,169,65,0,331,308,933
"2019-09-24 07:00:00",8,13,190,0,869,245,0,643,720,2688
"2019-09-24 08:00:00",19,16,280,0,1213,393,0,694,773,3388
"2019-09-24 09:00:00",15,20,142,0,710,292,0,447,482,2108
"2019-09-24 10:00:00",15,16,155,0,732,304,0,351,440,2013
"2019-09-24 11:00:00",4,13,167,0,797,298,0,376,472,2127
"2019-09-24 12:00:00",7,11,205,0,842,327,0,416,467,2275
"2019-09-24 13:00:00",12,18,222,0,835,296,0,460,477,2320
"2019-09-24 14:00:00",10,15,193,0,826,328,0,451,478,2301
"2019-09-24 15:00:00",14,21,217,0,955,372,0,469,508,2556
"2019-09-24 16:00:00",9,21,234,0,1249,406,0,482,561,2962
"2019-09-24 17:00:00",17,22,261,0,1325,470,0,582,682,3359
"2019-09-24 18:00:00",5,27,195,0,1239,437,0,512,512,2927
"2019-09-24 19:00:00",4,17,167,0,961,312,0,378,428,2267
"2019-09-24 20:00:00",10,9,134,0,609,250,0,320,323,1655
"2019-09-24 21:00:00",3,4,67,0,371,179,0,192,150,966
"2019-09-24 22:00:00",2,5,37,0,203,109,0,111,82,549
"2019-09-24 23:00:00",1,1,15,0,127,71,0,75,49,339
"2019-09-25 00:00:00",0,0,7,0,85,46,0,27,19,184
"2019-09-25 01:00:00",0,0,2,0,23,10,0,20,13,68
"2019-09-25 02:00:00",0,0,2,0,20,12,0,6,3,43
"2019-09-25 03:00:00",0,0,2,0,15,11,0,16,9,53
"2019-09-25 04:00:00",1,0,5,0,24,7,0,31,19,87
"2019-09-25 05:00:00",0,1,14,0,62,16,0,91,58,242
"2019-09-25 06:00:00",5,8,54,0,179,55,0,338,336,975
"2019-09-25 07:00:00",6,6,156,0,870,246,0,674,748,2706
"2019-09-25 08:00:00",10,22,242,0,1184,317,0,634,760,3169
"2019-09-25 09:00:00",10,14,161,0,716,290,0,397,449,2037
"2019-09-25 10:00:00",4,17,180,0,715,306,0,404,411,2037
"2019-09-25 11:00:00",23,14,205,0,790,286,0,423,442,2183
"2019-09-25 12:00:00",11,18,214,0,821,293,0,403,469,2229
"2019-09-25 13:00:00",14,11,283,0,845,316,0,458,513,2440
"2019-09-25 14:00:00",14,17,209,0,914,352,0,454,531,2491
"2019-09-25 15:00:00",15,21,236,0,979,366,0,502,505,2624
"2019-09-25 16:00:00",6,9,262,0,1204,390,0,506,593,2970
"2019-09-25 17:00:00",13,30,272,0,1380,500,0,624,664,3483
"2019-09-25 18:00:00",8,16,225,0,1268,408,0,517,545,2987
"2019-09-25 19:00:00",5,10,173,0,945,339,0,412,470,2354
"2019-09-25 20:00:00",4,11,134,0,599,257,0,285,302,1592
"2019-09-25 21:00:00",0,0,58,0,416,177,0,181,161,993
"2019-09-25 22:00:00",2,6,43,0,219,105,0,113,76,564
"2019-09-25 23:00:00",4,6,23,0,122,50,0,53,41,299
"2019-09-26 00:00:00",1,0,9,0,101,39,0,31,18,199
"2019-09-26 01:00:00",0,0,5,0,33,12,0,9,6,65
"2019-09-26 02:00:00",0,0,0,0,16,10,0,16,7,49
"2019-09-26 03:00:00",0,1,2,0,17,6,0,12,15,53
"2019-09-26 04:00:00",1,0,5,0,19,9,0,33,19,86
"2019-09-26 05:00:00",0,2,10,0,72,16,0,95,56,251
"2019-09-26 06:00:00",1,1,54,0,186,66,0,353,315,976
"2019-09-26 07:00:00",8,9,203,0,850,258,0,639,733,2700
"2019-09-26 08:00:00",8,21,247,0,1224,405,0,623,736,3264
"2019-09-26 09:00:00",13,18,169,0,767,290,0,384,428,2069
"2019-09-26 10:00:00",11,11,129,0,647,256,0,384,407,1845
"2019-09-26 11:00:00",15,20,146,0,753,293,0,431,463,2121
"2019-09-26 12:00:00",10,26,189,0,860,296,0,455,519,2355
"2019-09-26 13:00:00",23,17,197,0,854,307,0,449,494,2341
"2019-09-26 14:00:00",7,22,229,0,911,340,0,480,516,2505
"2019-09-26 15:00:00",11,15,194,0,990,330,0,501,556,2597
"2019-09-26 16:00:00",13,23,236,0,1161,413,0,451,570,2867
"2019-09-26 17:00:00",15,22,279,0,1331,457,0,633,701,3438
"2019-09-26 18:00:00",8,15,220,0,1238,468,0,460,479,2888
"2019-09-26 19:00:00",7,16,220,0,937,340,0,412,451,2383
"2019-09-26 20:00:00",7,9,137,0,677,261,0,288,294,1673
"2019-09-26 21:00:00",5,10,84,0,341,177,0,186,179,982
"2019-09-26 22:00:00",3,7,44,0,230,125,0,129,90,628
"2019-09-26 23:00:00",3,3,23,0,119,64,0,53,27,292
"2019-09-27 00:00:00",2,0,9,0,87,33,0,36,16,183
"2019-09-27 01:00:00",0,1,4,0,39,22,0,24,8,98
"2019-09-27 02:00:00",1,1,2,0,23,14,0,14,6,61
"2019-09-27 03:00:00",0,0,0,0,15,4,0,8,12,39
"2019-09-27 04:00:00",1,0,2,0,27,3,0,36,19,88
"2019-09-27 05:00:00",0,1,13,0,67,21,0,96,59,257
"2019-09-27 06:00:00",2,6,59,0,191,74,0,350,330,1012
"2019-09-27 07:00:00",6,11,191,0,826,246,0,637,715,2632
"2019-09-27 08:00:00",5,18,205,0,1132,346,0,579,731,3016
"2019-09-27 09:00:00",16,17,133,0,729,303,0,398,479,2075
"2019-09-27 10:00:00",11,17,169,0,743,266,0,422,469,2097
"2019-09-27 11:00:00",10,22,221,0,851,293,0,469,479,2345
"2019-09-27 12:00:00",5,15,196,0,924,329,0,452,544,2465
"2019-09-27 13:00:00",6,18,222,0,978,338,0,486,529,2577
"2019-09-27 14:00:00",8,23,226,0,931,362,0,487,555,2592
"2019-09-27 15:00:00",19,19,226,0,1092,370,0,524,604,2854
"2019-09-27 16:00:00",18,25,202,0,1289,417,0,539,603,3093
"2019-09-27 17:00:00",8,16,238,0,1368,448,0,560,655,3293
"2019-09-27 18:00:00",12,16,211,0,1166,368,0,482,562,2817
"2019-09-27 19:00:00",14,15,183,0,1003,354,0,442,474,2485
"2019-09-27 20:00:00",4,7,127,0,731,300,0,355,346,1870
"2019-09-27 21:00:00",1,5,118,0,493,208,0,234,235,1294
"2019-09-27 22:00:00",5,3,50,0,309,159,0,166,132,824
"2019-09-27 23:00:00",0,2,33,0,211,99,0,115,89,549
"2019-09-28 00:00:00",1,1,19,0,151,71,0,81,62,386
"2019-09-28 01:00:00",0,0,8,0,100,35,0,53,52,248
"2019-09-28 02:00:00",1,1,7,0,68,36,0,47,29,189
"2019-09-28 03:00:00",1,0,7,0,52,22,0,30,25,137
"2019-09-28 04:00:00",0,0,5,0,47,8,0,31,25,116
"2019-09-28 05:00:00",0,1,5,0,49,23,0,68,38,184
"2019-09-28 06:00:00",3,1,18,0,102,49,0,130,98,401
"2019-09-28 07:00:00",1,3,54,0,224,78,0,216,186,762
"2019-09-28 08:00:00",6,8,75,0,494,171,0,312,329,1395
"2019-09-28 09:00:00",4,16,124,0,663,260,0,372,418,1857
"2019-09-28 10:00:00",9,11,145,0,853,280,0,445,534,2277
"2019-09-28 11:00:00",7,16,197,0,964,344,0,490,575,2593
"2019-09-28 12:00:00",5,18,182,0,967,320,0,501,598,2591
"2019-09-28 13:00:00",4,15,156,0,911,317,0,506,593,2502
"2019-09-28 14:00:00",3,12,133,0,842,308,0,430,494,2222
"2019-09-28 15:00:00",6,15,127,0,803,307,0,404,450,2112
"2019-09-28 16:00:00",7,20,126,0,727,299,0,385,456,2020
"2019-09-28 17:00:00",4,16,159,0,681,296,0,341,361,1858
"2019-09-28 18:00:00",5,11,140,0,638,261,0,345,363,1763
"2019-09-28 19:00:00",3,8,77,0,555,218,0,280,294,1435
"2019-09-28 20:00:00",9,9,90,0,450,186,0,237,239,1220
"2019-09-28 21:00:00",8,7,81,0,378,162,0,220,180,1036
"2019-09-28 22:00:00",3,3,41,0,243,108,0,131,114,643
"2019-09-28 23:00:00",6,7,28,0,187,80,0,106,71,485
"2019-09-29 00:00:00",0,1,30,0,129,62,0,102,59,383
"2019-09-29 01:00:00",0,0,9,0,86,40,0,62,40,237
"2019-09-29 02:00:00",0,1,9,0,78,23,0,70,35,216
"2019-09-29 03:00:00",1,1,3,0,57,24,0,57,26,169
"2019-09-29 04:00:00",2,0,7,0,44,15,0,43,18,129
"2019-09-29 05:00:00",0,0,10,0,36,10,0,49,23,128
"2019-09-29 06:00:00",0,2,13,0,60,24,0,95,52,246
"2019-09-29 07:00:00",2,0,30,0,126,61,0,138,102,459
"2019-09-29 08:00:00",0,2,32,0,222,91,0,161,144,652
"2019-09-29 09:00:00",0,8,64,0,401,155,0,229,246,1103
"2019-09-29 10:00:00",5,10,94,0,525,195,0,341,380,1550
"2019-09-29 11:00:00",3,18,109,0,622,244,0,393,444,1833
"2019-09-29 12:00:00",4,10,139,0,756,251,0,456,545,2161
"2019-09-29 13:00:00",6,18,177,0,809,301,0,458,490,2259
"2019-09-29 14:00:00",4,14,138,0,665,237,0,391,431,1880
"2019-09-29 15:00:00",5,12,124,0,631,269,0,383,395,1819
"2019-09-29 16:00:00",4,7,124,0,634,242,0,358,400,1769
"2019-09-29 17:00:00",5,5,121,0,658,249,0,325,366,1729
"2019-09-29 18:00:00",3,5,132,0,571,230,0,332,316,1589
"2019-09-29 19:00:00",2,6,82,0,568,223,0,290,314,1485
"2019-09-29 20:00:00",1,8,81,0,446,198,0,242,213,1189
"2019-09-29 21:00:00",1,6,50,0,297,152,0,151,127,784
"2019-09-29 22:00:00",1,2,34,0,178,76,0,94,71,456
"2019-09-29 23:00:00",2,0,14,0,86,56,0,50,38,246
"2019-09-30 00:00:00",1,0,5,0,52,26,0,29,15,128
"2019-09-30 01:00:00",0,0,3,0,22,12,0,9,5,51
"2019-09-30 02:00:00",0,0,4,0,17,14,0,15,11,61
"2019-09-30 03:00:00",0,0,2,0,11,5,0,10,4,32
"2019-09-30 04:00:00",1,0,8,0,14,10,0,21,18,72
"2019-09-30 05:00:00",0,5,16,0,58,12,0,90,52,233
"2019-09-30 06:00:00",2,3,72,0,164,63,0,364,349,1017
"2019-09-30 07:00:00",9,17,159,0,842,236,0,702,707,2672
"2019-09-30 08:00:00",6,17,273,0,1176,375,0,641,787,3275
"2019-09-30 09:00:00",13,12,176,0,714,315,0,412,433,2075
"2019-09-30 10:00:00",8,16,167,0,673,304,0,397,409,1974
"2019-09-30 11:00:00",12,18,210,0,716,308,0,412,446,2122
"2019-09-30 12:00:00",8,22,219,0,873,333,0,457,480,2392
"2019-09-30 13:00:00",15,19,213,0,914,343,0,463,514,2481
"2019-09-30 14:00:00",12,16,245,0,918,391,0,440,474,2496
"2019-09-30 15:00:00",17,18,250,0,965,367,0,468,521,2606
"2019-09-30 16:00:00",11,17,260,0,1181,361,0,500,563,2893
"2019-09-30 17:00:00",13,14,254,0,1401,474,0,570,667,3393
"2019-09-30 18:00:00",7,17,208,0,1186,409,0,499,513,2839
"2019-09-30 19:00:00",7,12,165,0,871,308,0,362,392,2117
"2019-09-30 20:00:00",3,11,114,0,599,244,0,281,250,1502
"2019-09-30 21:00:00",1,9,88,0,338,142,0,179,159,916
"2019-09-30 22:00:00",1,4,31,0,227,105,0,113,72,553
"2019-09-30 23:00:00",2,1,19,0,131,64,0,66,45,328
